date,open,high,low,close,adj_close,volume,dividend,stock split
2012-03-29,55.2,55.2,54.35,54.7,43.95,10305.0,0.0,0
2012-03-30,54.5,54.9,54.2,54.9,44.12,8872.0,0.0,0
2012-04-02,54.9,54.9,54.5,54.7,43.95,4397.0,0.0,0
2012-04-03,54.85,54.9,54.1,54.25,43.59,9326.0,0.0,0
2012-04-05,53.45,53.8,53.05,53.65,43.11,14598.0,0.0,0
2012-04-06,53.6,53.85,53.4,53.75,43.19,15936.0,0.0,0
2012-04-09,53.0,53.5,52.7,53.1,42.67,18796.0,0.0,0
2012-04-10,53.55,53.6,52.9,53.1,42.67,6604.0,0.0,0
2012-04-11,52.7,53.45,52.7,53.3,42.83,12270.0,0.0,0
2012-04-12,53.05,53.4,52.85,53.35,42.87,9441.0,0.0,0
2012-04-13,53.8,54.05,53.65,53.95,43.35,8512.0,0.0,0
2012-04-16,53.45,53.8,53.45,53.8,43.23,5503.0,0.0,0
2012-04-17,53.9,53.9,52.9,52.9,42.51,21745.0,0.0,0
2012-04-18,53.5,53.5,52.95,53.0,42.59,11399.0,0.0,0
2012-04-19,53.05,53.2,52.5,53.05,42.63,9667.0,0.0,0
2012-04-20,52.9,52.95,52.3,52.35,42.07,15545.0,0.0,0
2012-04-23,52.3,52.4,51.85,52.3,42.03,18529.0,0.0,0
2012-04-24,52.25,52.65,52.05,52.4,42.11,6778.0,0.0,0
2012-04-25,52.6,52.8,52.45,52.7,42.35,3243.0,0.0,0
2012-04-26,52.8,52.85,52.2,52.3,42.03,5897.0,0.0,0
